# MD Simulation - NVE Ensemble
# Timestep: 1.0 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        1.000       354.48      0.41086559 -11031.08417045 -11030.67330486
         2        2.000       356.83      0.41357986 -11031.08426969 -11030.67068984
         3        3.000       360.87      0.41827297 -11031.08444189 -11030.66616892
         4        4.000       366.87      0.42522326 -11031.08469643 -11030.65947317
         5        5.000       375.16      0.43483378 -11031.08504749 -11030.65021371
         6        6.000       386.16      0.44758398 -11031.08551560 -11030.63793162
         7        7.000       400.33      0.46400343 -11031.08611742 -11030.62211399
         8        8.000       418.12      0.48461831 -11031.08687411 -11030.60225580
         9        9.000       439.90      0.50986578 -11031.08780193 -11030.57793615
        10       10.000       465.85      0.53994387 -11031.08890804 -11030.54896418
        11       11.000       495.82      0.57468102 -11031.09018528 -11030.51550426
        12       12.000       529.39      0.61359054 -11031.09161772 -11030.47802718
        13       13.000       566.02      0.65604736 -11031.09317975 -11030.43713238
        14       14.000       605.23      0.70149160 -11031.09485017 -11030.39335856
        15       15.000       646.70      0.74955592 -11031.09661678 -11030.34706086
        16       16.000       690.30      0.80009143 -11031.09847398 -11030.29838256
        17       17.000       735.97      0.85303341 -11031.10042128 -11030.24738787
        18       18.000       783.40      0.90800508 -11031.10244293 -11030.19443785
        19       19.000       831.81      0.96410917 -11031.10450752 -11030.14039835
        20       20.000       880.10      1.02008018 -11031.10656931 -11030.08648912
        21       21.000       926.96      1.07439247 -11031.10856895 -11030.03417648
        22       22.000       971.44      1.12595569 -11031.11046308 -11029.98450738
        23       23.000      1013.49      1.17468642 -11031.11225327 -11029.93756685
        24       24.000      1053.24      1.22076480 -11031.11394784 -11029.89318304
        25       25.000      1090.85      1.26435580 -11031.11554778 -11029.85119198
        26       26.000      1126.59      1.30577235 -11031.11707123 -11029.81129887
        27       27.000      1160.35      1.34490224 -11031.11851085 -11029.77360860
        28       28.000      1191.57      1.38108840 -11031.11984347 -11029.73875507
        29       29.000      1219.50      1.41346275 -11031.12103448 -11029.70757173
        30       30.000      1243.34      1.44109483 -11031.12205240 -11029.68095757
        31       31.000      1262.36      1.46313647 -11031.12286432 -11029.65972785
        32       32.000      1275.88      1.47881528 -11031.12344223 -11029.64462695
        33       33.000      1283.36      1.48748596 -11031.12376329 -11029.63627732
        34       34.000      1284.44      1.48873913 -11031.12380928 -11029.63507016
        35       35.000      1279.04      1.48247815 -11031.12357964 -11029.64110149
        36       36.000      1267.35      1.46892633 -11031.12308144 -11029.65415511
        37       37.000      1249.73      1.44850797 -11031.12233026 -11029.67382229
        38       38.000      1226.80      1.42192489 -11031.12135159 -11029.69942670
        39       39.000      1199.51      1.39029283 -11031.12018588 -11029.72989305
        40       40.000      1169.07      1.35500892 -11031.11888614 -11029.76387722
        41       41.000      1136.80      1.31760797 -11031.11750843 -11029.79990046
        42       42.000      1103.99      1.27958347 -11031.11610887 -11029.83652540
        43       43.000      1071.73      1.24219208 -11031.11473264 -11029.87254056
        44       44.000      1040.99      1.20656074 -11031.11342136 -11029.90686063
        45       45.000      1012.64      1.17370202 -11031.11221246 -11029.93851044
        46       46.000       987.51      1.14457449 -11031.11114015 -11029.96656566
        47       47.000       966.49      1.12020953 -11031.11024242 -11029.99003289
        48       48.000       950.39      1.10154698 -11031.10955554 -11030.00800856
        49       49.000       939.78      1.08925488 -11031.10910399 -11030.01984911
        50       50.000       935.04      1.08376483 -11031.10890246 -11030.02513763
        51       51.000       936.44      1.08538844 -11031.10896040 -11030.02357197
        52       52.000       944.32      1.09451144 -11031.10929564 -11030.01478420
        53       53.000       958.79      1.11128310 -11031.10991328 -11029.99863017
        54       54.000       979.13      1.13486263 -11031.11078579 -11029.97592316
        55       55.000      1003.55      1.16317095 -11031.11183239 -11029.94866143
        56       56.000      1029.77      1.19355437 -11031.11295317 -11029.91939880
        57       57.000      1055.96      1.22391152 -11031.11407049 -11029.89015897
        58       58.000      1081.13      1.25308224 -11031.11514421 -11029.86206197
        59       59.000      1104.71      1.28042294 -11031.11614934 -11029.83572641
        60       60.000      1126.24      1.30537604 -11031.11706694 -11029.81169090
        61       61.000      1145.17      1.32731043 -11031.11787491 -11029.79056447
        62       62.000      1161.16      1.34584271 -11031.11855569 -11029.77271298
        63       63.000      1174.66      1.36149631 -11031.11912659 -11029.75763028
        64       64.000      1186.92      1.37569899 -11031.11964416 -11029.74394517
        65       65.000      1199.06      1.38977944 -11031.12016132 -11029.73038188
        66       66.000      1211.14      1.40377862 -11031.12067872 -11029.71690010
        67       67.000      1221.99      1.41634818 -11031.12114486 -11029.70479668
        68       68.000      1230.06      1.42570854 -11031.12149163 -11029.69578309
        69       69.000      1234.38      1.43071017 -11031.12167504 -11029.69096487
        70       70.000      1234.70      1.43108804 -11031.12168889 -11029.69060085
        71       71.000      1231.25      1.42708387 -11031.12154027 -11029.69445640
        72       72.000      1224.51      1.41927594 -11031.12125135 -11029.70197541
        73       73.000      1215.22      1.40850664 -11031.12085331 -11029.71234666
        74       74.000      1204.30      1.39585117 -11031.12038528 -11029.72453411
        75       75.000      1192.70      1.38240000 -11031.11988980 -11029.73748979
        76       76.000      1181.05      1.36889924 -11031.11939234 -11029.75049309
        77       77.000      1169.71      1.35575435 -11031.11891071 -11029.76315635
        78       78.000      1158.68      1.34297666 -11031.11844177 -11029.77546511
        79       79.000      1147.82      1.33038622 -11031.11797910 -11029.78759288
        80       80.000      1137.23      1.31810935 -11031.11752714 -11029.79941779
        81       81.000      1127.38      1.30668911 -11031.11710568 -11029.81041657
        82       82.000      1119.08      1.29707566 -11031.11674943 -11029.81967377
        83       83.000      1113.42      1.29050761 -11031.11650651 -11029.82599889
        84       84.000      1111.21      1.28795640 -11031.11641246 -11029.82845605
        85       85.000      1112.37      1.28930095 -11031.11646604 -11029.82716509
        86       86.000      1115.40      1.29280996 -11031.11660180 -11029.82379184
        87       87.000      1118.13      1.29596867 -11031.11672156 -11029.82075290
        88       88.000      1118.81      1.29675785 -11031.11675437 -11029.81999652
        89       89.000      1116.21      1.29374526 -11031.11664622 -11029.82290097
        90       90.000      1109.82      1.28633814 -11031.11637141 -11029.83003326
        91       91.000      1100.34      1.27535756 -11031.11596520 -11029.84060764
        92       92.000      1089.11      1.26233317 -11031.11548299 -11029.85314982
        93       93.000      1077.46      1.24883768 -11031.11498446 -11029.86614678
        94       94.000      1066.78      1.23645653 -11031.11452665 -11029.87807012
        95       95.000      1058.49      1.22684159 -11031.11416973 -11029.88732815
        96       96.000      1053.91      1.22153814 -11031.11397372 -11029.89243558
        97       97.000      1053.48      1.22103594 -11031.11395699 -11029.89292105
        98       98.000      1056.19      1.22418464 -11031.11407956 -11029.88989492
        99       99.000      1060.19      1.22881635 -11031.11425324 -11029.88543688
       100      100.000      1063.82      1.23302344 -11031.11440960 -11029.88138616
